resume_text,job_category
"Expert in Tailwind, Web Design, CSS, Figma, HTML, UI/UX, Vue with a proven track record.",Frontend Engineering
"Strong background using Deep Learning, PyTorch, TensorFlow, NLP, Python, Pandas for scalable applications.",Data Science & AI
"Expert in REST APIs, Python, Node.js, Flask, Django with a proven track record.",Backend Engineering
"Strong background using Figma, React, HTML, Responsive Design, UI/UX, Tailwind, Angular for scalable applications.",Frontend Engineering
"Developed multiple projects utilizing Angular, Tailwind, CSS, HTML, Vue.",Frontend Engineering
"Expert in Scikit-Learn, Pandas, PyTorch, Statistics, Machine Learning, Numpy with a proven track record.",Data Science & AI
"Developed multiple projects utilizing TypeScript, HTML, Bootstrap, CSS, Tailwind.",Frontend Engineering
"Strong background using REST APIs, PostgreSQL, Flask, Django, MongoDB, MySQL, Node.js for scalable applications.",Backend Engineering
"Strong background using Bootstrap, Vue, HTML, Web Design, CSS, JavaScript for scalable applications.",Frontend Engineering
"Strong background using Figma, React, Vue, UI/UX, HTML, CSS, JavaScript for scalable applications.",Frontend Engineering
"Developed multiple projects utilizing Flask, Python, SQL, Node.js, MySQL, Java.",Backend Engineering
"Developed multiple projects utilizing PyTorch, Numpy, Machine Learning, Data Analysis, NLP, Deep Learning, TensorFlow, SQL.",Data Science & AI
"Expert in NLP, Numpy, Data Analysis, Scikit-Learn, TensorFlow, Computer Vision with a proven track record.",Data Science & AI
"Developed multiple projects utilizing Pandas, SQL, Machine Learning, Statistics, Deep Learning, PyTorch, Scikit-Learn.",Data Science & AI
"Strong background using SQL, Computer Vision, NLP, Pandas, TensorFlow for scalable applications. Also familiar with Agile and Git.",Data Science & AI
"Expert in Responsive Design, CSS, Vue, HTML, Bootstrap, React with a proven track record.",Frontend Engineering
"Experienced software engineer proficient in Python, MongoDB, Node.js, Redis, Spring Boot, SQL, MySQL.",Backend Engineering
"Strong background using Web Design, HTML, Bootstrap, Tailwind, JavaScript for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in Angular, JavaScript, Responsive Design, Tailwind, Web Design.",Frontend Engineering
"Strong background using PostgreSQL, Flask, Java, SQL, REST APIs, Python, MySQL for scalable applications.",Backend Engineering
"Experienced software engineer proficient in TensorFlow, SQL, PyTorch, Numpy, Deep Learning, Scikit-Learn.",Data Science & AI
"Expert in REST APIs, Redis, Express, Flask, Spring Boot, Python, MongoDB with a proven track record.",Backend Engineering
"Developed multiple projects utilizing Machine Learning, Python, Computer Vision, Statistics, TensorFlow, Scikit-Learn. Also familiar with Agile and Git.",Data Science & AI
"Strong background using Microservices, Redis, PostgreSQL, Express, Java, Flask, MySQL, Django for scalable applications. Also familiar with Agile and Git.",Backend Engineering
"Strong background using SQL, Microservices, Python, Flask, Spring Boot for scalable applications. Also familiar with Agile and Git.",Backend Engineering
"Strong background using Django, Express, Node.js, Flask, REST APIs, SQL, Java, Microservices for scalable applications.",Backend Engineering
"Developed multiple projects utilizing Express, REST APIs, Spring Boot, Redis, Django, PostgreSQL.",Backend Engineering
"Expert in Express, Python, Node.js, Flask, Django, Spring Boot with a proven track record.",Backend Engineering
"Expert in Computer Vision, TensorFlow, Scikit-Learn, Pandas, Statistics, Deep Learning, Numpy with a proven track record.",Data Science & AI
"Strong background using Machine Learning, PyTorch, Pandas, SQL, Computer Vision, Numpy for scalable applications. Also familiar with Agile and Git.",Data Science & AI
"Strong background using TensorFlow, Numpy, Statistics, Scikit-Learn, Machine Learning, NLP, Python, Deep Learning for scalable applications.",Data Science & AI
"Strong background using Data Analysis, Pandas, TensorFlow, Numpy, Scikit-Learn, Statistics, NLP, Computer Vision for scalable applications.",Data Science & AI
"Expert in Vue, Responsive Design, CSS, JavaScript, Figma, UI/UX, Web Design with a proven track record. Also familiar with Agile and Git.",Frontend Engineering
"Developed multiple projects utilizing Machine Learning, Numpy, Python, TensorFlow, Data Analysis, PyTorch, NLP, SQL. Also familiar with Agile and Git.",Data Science & AI
"Experienced software engineer proficient in Numpy, TensorFlow, Machine Learning, Scikit-Learn, Pandas, Python, NLP, PyTorch. Also familiar with Agile and Git.",Data Science & AI
"Experienced software engineer proficient in Java, Express, MongoDB, Python, MySQL, Django, REST APIs.",Backend Engineering
"Expert in UI/UX, HTML, Bootstrap, TypeScript, Angular with a proven track record.",Frontend Engineering
"Experienced software engineer proficient in Python, Deep Learning, Statistics, Computer Vision, Numpy, Data Analysis, TensorFlow.",Data Science & AI
"Developed multiple projects utilizing Computer Vision, Pandas, Scikit-Learn, NLP, SQL, Python.",Data Science & AI
"Experienced software engineer proficient in Data Analysis, Scikit-Learn, Pandas, Machine Learning, Numpy, Deep Learning, TensorFlow.",Data Science & AI
"Developed multiple projects utilizing Redis, MySQL, Python, Django, Node.js.",Backend Engineering
"Expert in HTML, React, JavaScript, Responsive Design, Tailwind with a proven track record.",Frontend Engineering
"Experienced software engineer proficient in Figma, Web Design, Angular, TypeScript, Responsive Design. Also familiar with Agile and Git.",Frontend Engineering
"Strong background using PyTorch, Python, Deep Learning, Pandas, Machine Learning for scalable applications. Also familiar with Agile and Git.",Data Science & AI
"Expert in Numpy, Scikit-Learn, NLP, SQL, Statistics with a proven track record. Also familiar with Agile and Git.",Data Science & AI
"Strong background using Tailwind, React, TypeScript, JavaScript, Vue, Angular, Figma for scalable applications.",Frontend Engineering
"Developed multiple projects utilizing Node.js, Redis, Django, REST APIs, SQL, Spring Boot.",Backend Engineering
"Experienced software engineer proficient in PostgreSQL, MongoDB, Express, Microservices, Flask.",Backend Engineering
"Experienced software engineer proficient in Tailwind, JavaScript, TypeScript, React, Bootstrap.",Frontend Engineering
"Developed multiple projects utilizing Node.js, Java, Microservices, MongoDB, Django, Flask.",Backend Engineering
"Expert in Tailwind, HTML, Figma, UI/UX, Responsive Design with a proven track record.",Frontend Engineering
"Strong background using Python, MongoDB, Microservices, Express, Flask, SQL, Spring Boot, Node.js for scalable applications.",Backend Engineering
"Strong background using UI/UX, Vue, Bootstrap, JavaScript, Angular, Responsive Design, Tailwind for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in Machine Learning, NLP, SQL, PyTorch, Pandas.",Data Science & AI
"Developed multiple projects utilizing Spring Boot, Django, PostgreSQL, Redis, Node.js.",Backend Engineering
"Expert in Bootstrap, HTML, React, Tailwind, Figma with a proven track record.",Frontend Engineering
"Strong background using Machine Learning, Python, SQL, Deep Learning, TensorFlow, Pandas, Scikit-Learn for scalable applications.",Data Science & AI
"Developed multiple projects utilizing Scikit-Learn, Pandas, Python, Data Analysis, Statistics.",Data Science & AI
"Experienced software engineer proficient in Computer Vision, TensorFlow, SQL, Deep Learning, Numpy, Machine Learning, Pandas, Data Analysis.",Data Science & AI
"Strong background using TypeScript, Bootstrap, CSS, Tailwind, React, JavaScript for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in Node.js, MySQL, MongoDB, Microservices, Python, Flask.",Backend Engineering
"Expert in PyTorch, NLP, Machine Learning, Numpy, Computer Vision, Data Analysis with a proven track record. Also familiar with Agile and Git.",Data Science & AI
"Expert in Deep Learning, Scikit-Learn, NLP, Machine Learning, Computer Vision, Python, Pandas with a proven track record.",Data Science & AI
"Expert in NLP, SQL, Python, PyTorch, Data Analysis with a proven track record.",Data Science & AI
"Developed multiple projects utilizing Bootstrap, CSS, TypeScript, Tailwind, Angular, HTML.",Frontend Engineering
"Experienced software engineer proficient in PyTorch, NLP, Pandas, Numpy, Deep Learning, Scikit-Learn.",Data Science & AI
"Strong background using JavaScript, Vue, UI/UX, TypeScript, Figma for scalable applications.",Frontend Engineering
"Expert in MySQL, Node.js, Flask, SQL, PostgreSQL, MongoDB, REST APIs, Python with a proven track record. Also familiar with Agile and Git.",Backend Engineering
"Experienced software engineer proficient in PyTorch, Deep Learning, Computer Vision, Scikit-Learn, Statistics, SQL, Data Analysis, TensorFlow.",Data Science & AI
"Expert in React, Angular, Tailwind, Vue, Web Design, HTML, TypeScript, CSS with a proven track record. Also familiar with Agile and Git.",Frontend Engineering
"Strong background using Java, PostgreSQL, Python, Spring Boot, Microservices, MongoDB for scalable applications.",Backend Engineering
"Expert in SQL, Deep Learning, Machine Learning, Computer Vision, Python, NLP with a proven track record.",Data Science & AI
"Expert in Django, SQL, PostgreSQL, Python, MySQL with a proven track record.",Backend Engineering
"Strong background using REST APIs, MySQL, Flask, Express, SQL for scalable applications.",Backend Engineering
"Strong background using Angular, UI/UX, Figma, Vue, CSS, Bootstrap for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in Tailwind, TypeScript, Angular, HTML, CSS, Bootstrap, React.",Frontend Engineering
"Strong background using MySQL, Express, REST APIs, Python, Spring Boot for scalable applications. Also familiar with Agile and Git.",Backend Engineering
"Expert in Bootstrap, Web Design, Angular, Figma, UI/UX, HTML, Responsive Design with a proven track record. Also familiar with Agile and Git.",Frontend Engineering
"Expert in SQL, NLP, Scikit-Learn, PyTorch, Data Analysis, Statistics, Deep Learning, TensorFlow with a proven track record.",Data Science & AI
"Developed multiple projects utilizing HTML, React, Figma, Vue, Angular, CSS.",Frontend Engineering
"Experienced software engineer proficient in Django, MongoDB, Express, Microservices, Python, PostgreSQL, MySQL.",Backend Engineering
"Strong background using Python, Pandas, Machine Learning, Computer Vision, Numpy, Data Analysis, Deep Learning for scalable applications.",Data Science & AI
"Developed multiple projects utilizing NLP, Python, TensorFlow, Numpy, Computer Vision, Data Analysis. Also familiar with Agile and Git.",Data Science & AI
"Expert in HTML, UI/UX, CSS, Angular, Tailwind with a proven track record.",Frontend Engineering
"Developed multiple projects utilizing HTML, Responsive Design, JavaScript, Angular, Vue, CSS, UI/UX, Web Design.",Frontend Engineering
"Experienced software engineer proficient in PyTorch, Statistics, Numpy, Deep Learning, Scikit-Learn, TensorFlow, NLP.",Data Science & AI
"Developed multiple projects utilizing REST APIs, Microservices, SQL, Spring Boot, Express, PostgreSQL, MySQL.",Backend Engineering
"Expert in SQL, NLP, Deep Learning, Pandas, Data Analysis, Scikit-Learn with a proven track record.",Data Science & AI
"Developed multiple projects utilizing Statistics, Machine Learning, Computer Vision, NLP, Deep Learning, Pandas, TensorFlow. Also familiar with Agile and Git.",Data Science & AI
"Strong background using Tailwind, React, Bootstrap, HTML, Vue for scalable applications.",Frontend Engineering
"Developed multiple projects utilizing Web Design, Vue, Bootstrap, React, Tailwind, Figma, UI/UX, Responsive Design.",Frontend Engineering
"Developed multiple projects utilizing Redis, Node.js, Java, MongoDB, Microservices.",Backend Engineering
"Strong background using React, JavaScript, UI/UX, HTML, Angular, Bootstrap, Tailwind, Vue for scalable applications.",Frontend Engineering
"Developed multiple projects utilizing REST APIs, MySQL, PostgreSQL, Redis, Express.",Backend Engineering
"Strong background using Django, Microservices, Redis, SQL, REST APIs, Spring Boot for scalable applications.",Backend Engineering
"Developed multiple projects utilizing Tailwind, Figma, Angular, Vue, React, HTML, Bootstrap.",Frontend Engineering
"Developed multiple projects utilizing Pandas, Scikit-Learn, PyTorch, Python, NLP, Numpy.",Data Science & AI
"Expert in Computer Vision, Data Analysis, Statistics, Machine Learning, Python with a proven track record.",Data Science & AI
"Strong background using Python, MySQL, PostgreSQL, Redis, REST APIs, Flask, Django for scalable applications.",Backend Engineering
"Experienced software engineer proficient in Redis, PostgreSQL, MongoDB, Flask, Python, Express, MySQL. Also familiar with Agile and Git.",Backend Engineering
"Experienced software engineer proficient in Data Analysis, Machine Learning, TensorFlow, PyTorch, Python. Also familiar with Agile and Git.",Data Science & AI
"Strong background using TensorFlow, Machine Learning, SQL, NLP, Computer Vision, Python, Statistics for scalable applications.",Data Science & AI
"Experienced software engineer proficient in PyTorch, TensorFlow, Deep Learning, Data Analysis, Statistics, NLP, SQL, Numpy.",Data Science & AI
"Strong background using React, HTML, Responsive Design, TypeScript, Figma, Bootstrap for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in REST APIs, Microservices, PostgreSQL, SQL, MySQL, Redis, MongoDB, Python.",Backend Engineering
"Experienced software engineer proficient in Data Analysis, TensorFlow, Deep Learning, Python, NLP.",Data Science & AI
"Experienced software engineer proficient in Microservices, Spring Boot, Node.js, PostgreSQL, Redis, Express, REST APIs, Java. Also familiar with Agile and Git.",Backend Engineering
"Developed multiple projects utilizing Flask, Express, Spring Boot, SQL, Python, MongoDB, Redis, Microservices. Also familiar with Agile and Git.",Backend Engineering
"Expert in PyTorch, Machine Learning, Data Analysis, Numpy, Statistics, NLP, Deep Learning with a proven track record. Also familiar with Agile and Git.",Data Science & AI
"Expert in Angular, CSS, TypeScript, JavaScript, React, Bootstrap, UI/UX, Web Design with a proven track record.",Frontend Engineering
"Developed multiple projects utilizing HTML, CSS, Figma, Bootstrap, UI/UX, JavaScript. Also familiar with Agile and Git.",Frontend Engineering
"Expert in Microservices, Flask, Django, Express, Spring Boot, SQL, MongoDB with a proven track record.",Backend Engineering
"Developed multiple projects utilizing Vue, UI/UX, JavaScript, Responsive Design, Figma, React. Also familiar with Agile and Git.",Frontend Engineering
"Developed multiple projects utilizing Redis, MongoDB, SQL, PostgreSQL, Node.js, Django, REST APIs, Flask.",Backend Engineering
"Strong background using Computer Vision, Data Analysis, Statistics, Python, PyTorch, Deep Learning, TensorFlow, NLP for scalable applications. Also familiar with Agile and Git.",Data Science & AI
"Expert in Node.js, SQL, Django, MongoDB, Java with a proven track record.",Backend Engineering
"Strong background using Responsive Design, Angular, TypeScript, React, Vue, UI/UX, JavaScript for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in Node.js, MongoDB, Java, Python, Flask, REST APIs, Microservices. Also familiar with Agile and Git.",Backend Engineering
"Experienced software engineer proficient in JavaScript, HTML, Responsive Design, Web Design, Figma. Also familiar with Agile and Git.",Frontend Engineering
"Developed multiple projects utilizing Vue, UI/UX, CSS, Figma, Tailwind.",Frontend Engineering
"Experienced software engineer proficient in HTML, Vue, Figma, TypeScript, React, UI/UX, Tailwind, JavaScript.",Frontend Engineering
"Developed multiple projects utilizing PyTorch, Scikit-Learn, Machine Learning, Computer Vision, Numpy, NLP, Data Analysis, Pandas. Also familiar with Agile and Git.",Data Science & AI
"Experienced software engineer proficient in Web Design, Tailwind, Responsive Design, UI/UX, Angular, React, Vue, Figma. Also familiar with Agile and Git.",Frontend Engineering
"Developed multiple projects utilizing HTML, Angular, Figma, Tailwind, UI/UX, Vue.",Frontend Engineering
"Strong background using NLP, PyTorch, Deep Learning, Pandas, Numpy, TensorFlow, Python for scalable applications. Also familiar with Agile and Git.",Data Science & AI
"Expert in JavaScript, UI/UX, Angular, CSS, Vue with a proven track record.",Frontend Engineering
"Strong background using Flask, SQL, Express, Node.js, MongoDB, MySQL for scalable applications.",Backend Engineering
"Experienced software engineer proficient in Spring Boot, Flask, Java, REST APIs, MySQL, Microservices, Redis.",Backend Engineering
"Developed multiple projects utilizing Numpy, Python, Computer Vision, NLP, Machine Learning.",Data Science & AI
"Expert in UI/UX, Vue, Figma, Bootstrap, HTML with a proven track record.",Frontend Engineering
"Experienced software engineer proficient in Spring Boot, Java, MySQL, Express, PostgreSQL.",Backend Engineering
"Experienced software engineer proficient in SQL, Java, Python, PostgreSQL, MongoDB, Django, Node.js, Spring Boot. Also familiar with Agile and Git.",Backend Engineering
"Experienced software engineer proficient in Numpy, Python, Statistics, SQL, Scikit-Learn.",Data Science & AI
"Experienced software engineer proficient in SQL, Microservices, PostgreSQL, Python, MongoDB.",Backend Engineering
"Expert in Data Analysis, Numpy, Pandas, TensorFlow, Python, Scikit-Learn with a proven track record. Also familiar with Agile and Git.",Data Science & AI
"Developed multiple projects utilizing HTML, Bootstrap, UI/UX, Vue, Web Design. Also familiar with Agile and Git.",Frontend Engineering
"Experienced software engineer proficient in MongoDB, SQL, Express, Java, Microservices, Django, Node.js. Also familiar with Agile and Git.",Backend Engineering
"Strong background using Spring Boot, Java, Django, Node.js, PostgreSQL, Redis, Express, MySQL for scalable applications.",Backend Engineering
"Experienced software engineer proficient in Angular, Tailwind, Web Design, CSS, UI/UX, TypeScript, React.",Frontend Engineering
"Strong background using MongoDB, Flask, MySQL, SQL, PostgreSQL, Spring Boot, Redis for scalable applications.",Backend Engineering
"Developed multiple projects utilizing Bootstrap, React, HTML, Responsive Design, UI/UX.",Frontend Engineering
"Experienced software engineer proficient in TypeScript, Bootstrap, Responsive Design, JavaScript, Web Design, Tailwind.",Frontend Engineering
"Developed multiple projects utilizing Microservices, PostgreSQL, Flask, Spring Boot, Django, SQL.",Backend Engineering
"Experienced software engineer proficient in REST APIs, Flask, Microservices, MySQL, Python, Spring Boot, MongoDB.",Backend Engineering
"Developed multiple projects utilizing Deep Learning, SQL, Scikit-Learn, PyTorch, Python. Also familiar with Agile and Git.",Data Science & AI
"Strong background using Angular, Figma, JavaScript, Responsive Design, UI/UX for scalable applications.",Frontend Engineering
"Expert in Express, Django, Spring Boot, SQL, MySQL with a proven track record.",Backend Engineering
"Experienced software engineer proficient in Computer Vision, Statistics, TensorFlow, Numpy, Machine Learning, Scikit-Learn.",Data Science & AI
"Strong background using Figma, Angular, TypeScript, UI/UX, Web Design for scalable applications.",Frontend Engineering
"Experienced software engineer proficient in SQL, PostgreSQL, Express, Python, Redis.",Backend Engineering
